127.0.0.1 - - [30/Sep/2016:23:51:42 -0500] "GET / HTTP/1.1" 404 961
0:0:0:0:0:0:0:1 - - [30/Sep/2016:23:51:44 -0500] "GET /CRMSocia/index.jsp HTTP/1.1" 200 792
0:0:0:0:0:0:0:1 - - [30/Sep/2016:23:51:44 -0500] "GET /CRMSocia/js/script.js HTTP/1.1" 200 695
0:0:0:0:0:0:0:1 - - [30/Sep/2016:23:51:44 -0500] "GET /CRMSocia/js/jquery.min.js HTTP/1.1" 200 97163
0:0:0:0:0:0:0:1 - - [30/Sep/2016:23:51:51 -0500] "GET /CRMSocia/index.jsp HTTP/1.1" 200 792
0:0:0:0:0:0:0:1 - - [30/Sep/2016:23:51:51 -0500] "GET /CRMSocia/js/script.js HTTP/1.1" 200 695
0:0:0:0:0:0:0:1 - - [30/Sep/2016:23:51:51 -0500] "GET /CRMSocia/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2016:23:51:51 -0500] "GET /favicon.ico HTTP/1.1" 404 983
0:0:0:0:0:0:0:1 - - [30/Sep/2016:23:54:07 -0500] "GET /CRMSocia/index.jsp HTTP/1.1" 200 792
0:0:0:0:0:0:0:1 - - [30/Sep/2016:23:54:07 -0500] "GET /CRMSocia/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2016:23:54:07 -0500] "GET /CRMSocia/js/script.js HTTP/1.1" 200 695
0:0:0:0:0:0:0:1 - - [30/Sep/2016:23:54:10 -0500] "POST /CRMSocia/ControllerLogin HTTP/1.1" 200 -
